City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,55.0,84,99,2.35,overcast clouds
1,Tiksi,RU,71.6872,128.8694,19.78,84,83,8.48,broken clouds
2,Castro,BR,-24.7911,-50.0119,55.29,96,55,7.67,broken clouds
3,Kodiak,US,57.79,-152.4072,37.4,87,90,11.5,moderate rain
4,Hobart,AU,-42.8794,147.3294,64.4,42,75,28.77,broken clouds
5,Saint George,US,37.1041,-113.5841,70.0,19,1,14.97,clear sky
6,Port Alfred,ZA,-33.5906,26.891,69.3,88,73,9.48,broken clouds
7,Punta Arenas,CL,-53.15,-70.9167,50.0,66,75,35.68,broken clouds
8,Arraial Do Cabo,BR,-22.9661,-42.0278,74.23,64,94,11.5,overcast clouds
9,Kihei,US,20.785,-156.4656,73.4,64,20,10.36,few clouds
10,Iqaluit,CA,63.7506,-68.5145,10.4,72,90,29.93,snow
11,Ushuaia,AR,-54.8,-68.3,48.2,81,75,6.91,light rain
12,Pevek,RU,69.7008,170.3133,-0.17,87,63,1.57,broken clouds
13,Neryungri,RU,56.6709,124.6491,22.37,69,79,3.15,broken clouds
14,Vaini,TO,-21.2,-175.2,77.0,78,20,6.91,few clouds
15,Zheshart,RU,62.0731,49.5733,50.7,85,100,8.88,overcast clouds
16,Tarakan,ID,3.3,117.6333,89.6,70,40,6.91,scattered clouds
17,Souillac,MU,-20.5167,57.5167,82.4,74,40,12.66,scattered clouds
18,Bibai,JP,43.3247,141.8586,44.6,49,40,24.16,scattered clouds
19,Georgetown,MY,5.4112,100.3354,91.0,70,20,8.05,few clouds
20,La Orilla,MX,17.9833,-102.2333,72.46,84,5,3.51,clear sky
21,Chuy,UY,-33.6971,-53.4616,56.91,82,0,2.53,clear sky
22,Asau,RO,46.4333,26.4,43.0,60,100,3.02,overcast clouds
23,Bathsheba,BB,13.2167,-59.5167,78.8,73,75,12.66,broken clouds
24,Atuona,PF,-9.8,-139.0333,81.12,75,100,17.9,overcast clouds
25,Hasaki,JP,35.7333,140.8333,71.6,83,75,5.75,broken clouds
26,Jumla,NP,29.2747,82.1838,67.73,18,10,6.22,clear sky
27,Busselton,AU,-33.65,115.3333,66.99,70,78,4.0,broken clouds
28,Ixtapa,MX,20.7,-105.2,67.71,88,1,2.64,clear sky
29,Hilo,US,19.7297,-155.09,73.4,68,90,11.5,light rain
30,Cayenne,GF,4.9333,-52.3333,81.0,94,75,1.14,broken clouds
31,Meulaboh,ID,4.1363,96.1285,84.34,65,93,4.38,overcast clouds
32,Kendallville,US,41.4414,-85.265,41.0,75,1,5.32,clear sky
33,Les Cayes,HT,18.2,-73.75,75.69,85,100,7.18,overcast clouds
34,Husavik,IS,66.0449,-17.3389,42.8,61,20,17.27,few clouds
35,Talara,PE,-4.5772,-81.2719,70.75,77,76,14.79,broken clouds
36,Rikitea,PF,-23.1203,-134.9692,77.77,66,5,8.39,clear sky
37,Rabo De Peixe,PT,37.8,-25.5833,60.8,94,75,10.36,broken clouds
38,Barrow,US,71.2906,-156.7887,6.8,72,1,8.05,clear sky
39,Saint Marys,US,30.7305,-81.5465,66.99,78,1,5.75,clear sky
40,Laguna,US,38.421,-121.4238,55.4,66,1,4.61,clear sky
41,Quime,BO,-16.9833,-67.2167,48.43,92,80,2.86,broken clouds
